order,id,age,sex,ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,condition,round,age_cat,X,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,itemred,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50
165,62a372ba36d648e718d3c9a4,27,Male,Asian,uk,uk,uk,English,between,1,younger,,spain,ford,sunny,churchill,cadbury milk,spain,conservative,whiskey,1960,ant,london,sunbathing,running,gq,13-Dec,bbc,telegraph,1,everest,super mario,sainsbury's,ben stokes,tshirt,uganda,beatles,big ben,aloe vera,beach ball,rose,engine,na,math,birthday,don't let me down,eating cake,football,salsa,nike,sarah,thames,washing up,unsure,unsure,toy story,euro,toothbrush,accountant,flowers,ice cream,poodle,drinking_out
166,62a372ba36d648e718d3c9a4,27,Male,Asian,uk,uk,uk,English,within,2,younger,,spain,volskwagen,sunny,drake,cadbury milk,france,labour,whiskey,2020,bee,london,drink_holiday,lifting weights,ok!,25-Dec,netflix,the sun,10,everest,fortnite,aldi,harry kane,jeans,south africa,ed sheeran,big ben,aloe vera,beach ball,tulip,engine,na,english,birthday,loyal - chris brown,drinking_party,football,hip-hop,palm angels,jessica,thames,vacuuming,can't hurt me,bt tower ,avengers,american dollar,toilet,manager,grass,hotdog,rottweiler,drinking_out
167,62a447d91e71bfacd2e8c006,58,Female,White,uk,uk,uk,English,within,1,older,,france,ford,rainy,queen victoria,cadbury milk,spain,labour,wine,2000,butterfly,london,sight seeing,r,vogue,01-Jan,bbc one,daily mail,7,everest,minecraft,tesco,andy murray,coat,south africa,queen,eiffel tower,cheeseplant,shell,rose,wheel,na,english,christmas,happy birthday,dancing,football,jive,north face,ann,amazon,washing up,pride and prejudice,buckingham palace,gone with the wind,euro,toilet,teacher,trees,chips,labrador,dinning_out
168,62a447d91e71bfacd2e8c006,58,Female,White,uk,uk,uk,English,between,2,older,,france,ford,snowy,the queen,cadbury milk,spain,conservative,wine,2000,butterfly,london,sunbathing,training,cosmopolitan,25-Dec,netflix,daily mail,7,everest,minecraft,asda,beckham,top,south africa,queen,eiffel tower,spider plant,sand,daisy,wheel,na,english,birthday,happy birthday,dancing,football,jive,burberry,sophia,thames,vacuuming,50 shades of grey,buckingham palace,ghandi,euro,bath,teacher,trees,burger,labradoodle,dancing_out
169,62b5ffcabc276b61f9dffc6f,31,Male,Asian,uk,uk,uk,English,between,1,younger,,spain,mercedes,sunny,churchill,cadbury milk,italy,conservative,beer,2020,ladybug,london,swimming,running,heat,13-Dec,bbc,sunday times,100,everest,call of duty,tesco,beckham,tshirt,kenya,abba,big ben,aloe vera,pebble,daisy,engine,na,english,christmas,abbas money money money,dancing,football,tango,adidas,sarah,nile,washing up,harry potter,shard,saving private ryan ,euro,toothbrush,architect,grass,chocolate,german shepherd,drinking_out
170,62b5ffcabc276b61f9dffc6f,31,Male,Asian,uk,uk,uk,English,within,2,younger,,greece,audi,snowy,mandela,galaxy,spain,labour,gin,2022,beetle,rome,sunbathing,workout at the gym,men's health,13-Dec,netflix,daily mail,50,kilimanjaro,fifa,sainsbury's,kylian mbappe,trousers,tanzania,the weeknd,acropolis,spider plant,sand,lily,door,na,math,new year,drake baby,dancing,football,griddy,nike,india,amazon,laundry,game of thrones,shard,black panther,euro,tooth paste,accountant,fence,chicken wrap,poodle,get with someone
171,62cbf6ede47c5899f8c43690,26,Male,Asian,uk,uk,uk,English,between,1,younger,,uk,mercedes,cloudy,the queen,cadbury milk,spain,conservative,martini,2022,spider,london,sunbathing,cycling,economist,13-Dec,bbc one,guardian,1,everest,pac-man,tesco,beckham,tshirt,nigeria,beatles,big ben,aloe vera,sand,dandelion,wheel,na,math,birthday,angels,drinking_party,football,boogie,nike,charlotte,thames,cleaning,dune,shard,shawshank redemption,euro,basin,accountant,grass,hotdog,golden retriever,drinking_out
172,62cbf6ede47c5899f8c43690,26,Male,Asian,uk,uk,uk,English,within,2,younger,,uk,mercedes,cloudy,the queen,cadbury milk,spain,labour,Mojito,2022,spider,london,sunbathing,workout at the gym,economist,13-Dec,netflix,daily mail,1,everest,call of duty,tesco,beckham,tshirt,nigeria,taylor swift,big ben,aloe vera,sand,rose,wheel,na,math,birthday,angels,drinking_party,football,shuffle,nike,charlotte,thames,cleaning,harry potter,shard,avengers,euro,basin,doctor,grass,hotdog,golden retriever,drinking_out
173,62ce9f115a24ca323371d2dc,30,Male,Asian,uk,uk,uk,English,between,2,younger,,germany,ford,rainy,the queen,snickers,italy,conservative,rum,2020,spider,new york,swimming,jogging,now,09-Sep,itv,guardian,37,kilimanjaro,fortnite,asda,ronaldo,tshirt,chad,mozart,trafalgar square,furn,pebble,sunflower,exhaust,na,math,wedding,never gonna give you up,giving presents,golf,tango,m&s,barbara,thames,vacuuming,all's quiet on the western front,canary wharf,citizen kane,american dollar,toilet roll,doctor,lawnmower,coffee,golden retriever,dinning_out
174,62ce9f115a24ca323371d2dc,30,Male,Asian,uk,uk,uk,English,within,1,younger,,uk,ford,sunny,churchill,mars,spain,labour,beer,2001,beetle,london,sunbathing,running,gq,11-Sep,bbc one,the sun,7,fuji,call of duty,tesco,messi,trousers,nigeria,ed sheeran,big ben,sunflower,sand,daffodils ,engine,na,english,birthday,banquet,dancing,football,twerking,gucci,sarah,ganges,mopping,to kill a mockingbird,empire state,harry potter,euro,toilet,barista,grass,chips,corgi,drinking_out
175,62cfeab06cb6c36b80b91493,32,Female,White,uk,uk,uk,English,between,1,younger,,france,bmw,rainy,churchill,cadbury milk,spain,conservative,gin,1970,ant,london,sunbathing,running,radio times,01-Jan,bbc one,times,12,alps,super mario,tesco,beckham,tshirt,egypt,beatles,big ben,suculant,sand,tulip,wheel,na,math,christmas,jingle bells,drinking_party,tennis,jive,burberry,sarah,nile,vacuuming,animal farm,house of parliament,titanic,american dollar,basin,doctor,shed,sandwich,yorkshire terrier,dancing_out
176,62cfeab06cb6c36b80b91493,32,Female,White,uk,uk,uk,English,within,2,younger,,france,toyota,rainy,martin luther king,cadbury milk,greece,labour,vodka,2020,bee,paris,sunbathing,workout at the gym,hello!,01-Jan,netflix,the sun,12,alps,gta,tesco,beckham,tshirt,morocco,1975,eiffel tower,cactus,sand,sunflower,wheel,na,math,christmas,we will rock you,drinking_party,football,twerking,chanel,lisa,nile,washing up,dorean grey,big ben,avatar,american dollar,toilet,teacher,shed,sandwich,great dane,drinking_out
177,62d90e828279a1f54b9c0a0e,33,Male,White,uk,uk,uk,English,within,2,younger,,france,ferrari,snowy,shakespeare,mars,spain,labour,beer,2022,ant,london,sight seeing,workout at the gym,time,25-Dec,netflix,the sun,1,everest,call of duty,tesco,harry kane,tshirt,egypt,coldplay,the shard,triffid,deckchair,daisy,engine,na,math,cartwheel,sweet caroline,dancing,football,waltz,nike,olivia,nile,cleaning,fifty shades of grey,shard,harry potter,euro,shower,teacher,grass,pizza,german shepherd,drinking_out
178,62d90e828279a1f54b9c0a0e,33,Male,White,uk,uk,uk,English,between,1,younger,,france,toyota,sunny,churchill,mars,spain,labour,beer,2022,ant,london,sunbathing,running,time,01-Jan,bbc,the sun,1,everest,tetris,tesco,beckham,tshirt,south africa,elvis,stonehenge,cactus,sand,daisy,engine,na,english,jump,candle in the wind,dancing,football,tango,nike,jane,nile,cleaning,bible,empire state,titanic,euro,bath,teacher,shed,pizza,labrador,drinking_out
179,62e1547274276bcf3741a482,35,Male,White,uk,uk,uk,English,within,1,younger,,uk,bmw,sunny,the queen,cadbury milk,spain,labour,beer,1999,fly,london,sunbathing,running,nme,25-Dec,bbc,times,1,everest,call of duty,asda,alan shearer,tshirt,egypt,the cure,big ben,lily,sand,rose,engine,na,math,birthday,god save the queen,eating cake,football,salsa,levi's,samantha,thames,cleaning,bible,the roundhouse,titanic,american dollar,toilet,police officer,grass,pasty,labrador,dancing_out
180,62e1547274276bcf3741a482,35,Male,White,uk,uk,uk,English,between,2,younger,,spain,volvo,sunny,henry viii,cadbury milk,spain,conservative,Tea,1966,fly,london,sunbathing,running,nme,25-Dec,bbc,times,1,everest,pong,asda,alan shearer,tshirt,egypt,the cure,big ben,lily,shell,rose,engine,na,math,birthday,i hate you,dancing,football,salsa,levi's,jane,thames,cleaning,bible,the roundhouse,titanic,american dollar,toilet,cleaner,grass,burger,collie,dancing_out
181,62e94c384f809b7d0831f4ea,32,Male,White,uk,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,cadbury milk,spain,conservative,beer,1947,bee,london,swimming,running,ok!,01-Jan,bbc,daily mail,1,snowdonia,tetris,tesco,beckham,jeans,niger,fleetwood mac,eiffel tower,bonsai tree,sand,daisy,engine,na,math,birthday,ymca,drinking_party,tennis,macarena,nike,elizabeth,mississippi,washing up,of mice and men,white house,avengers,euro,toilet,police officer,grass,sandwich,jack russell,drinking_out
182,62e94c384f809b7d0831f4ea,32,Male,White,uk,uk,uk,English,within,2,younger,,uk,ferrari,rainy,david cameron,cadbury milk,spain,labour,beer,2000,ant,london,drink_holiday,workout at the gym,ok!,25-Dec,netflix,the sun,69,ben nevis,call of duty,asda,harry kane,tshirt,south africa,drake,bullring,cactus,sand,rose,engine,na,english,christmas,shut up,drinking_party,football,gangnam style,adidas,rose,severn,vacuuming,50 shades of grey,jfk,avengers,euro,toilet,youtuber,grass,burger,dachshund,dancing_out
183,62ec16be1961cd31dc644dc9,32,Female,Asian,uk,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,galaxy,spain,conservative,gin,1950,ant,london,sunbathing,running,vogue,12-Dec,bbc,guardian,20,everest,fifa,tesco,football,trousers,uganda,rolling stones,london eye,olive tree,sand,carnations,wheel,na,english,christmas,jingle bells,dancing,football,tango,nike,lucy,thames,vacuuming,dictionary,big ben,titanic,euro,toothbrush,teacher,flowers,chips,labrador,drinking_out
184,62ec16be1961cd31dc644dc9,32,Female,Asian,uk,uk,uk,English,within,2,younger,,spain,jaguar,sunny,the queen,cadbury milk,thailand,labour,vodka,2012,spider,paris,swimming,crossfit,glamour,16-Sep,4od,guardian,10,everest,fifa,aldi,ronaldo,boots,nigeria,coldplay,eiffel tower,plant,shell,rose,engine,na,history,birthday,hotline bling,drinking_party,basketball,foxtrot,nike,sarah,thames,dusting,harry potter,chrysler building,harry potter,euro,toilet brush,doctor,shovel,crisps,cocker spaniel,drinking_out
185,62ed08434085fad9eefdfe1a,56,Male,White,uk,uk,uk,English,between,1,older,,france,mercedes,snowy,the queen,mars,usa,labour,beer,1998,fly,london,clubbing,workout at the gym,gq,25-Dec,netflix,guardian,1,everest,minecraft,sainsbury's,harry kane,hoodie,south africa,blue,london eye,lily,plastic,rose,engine,na,math,birthday,perfect 10 ,drinking_party,football,salsa,under armour,helen,thames,vacuuming,bible,house of parliament,avatar,euro,toilet,sales,chairs,hotdog,dachshund,dancing_out
186,62ed08434085fad9eefdfe1a,56,Male,White,uk,uk,uk,English,within,2,older,,france,audi,snowy,churchill,mars,france,conservative,beer,1966,bee,london,reading,walking,golf,25-Dec,bbc one,daily mail,1,everest,angry birds,sainsbury's,harry kane,coat,south africa,ub40,trafalgar square,azeala,towel,rose,engine,na,math,new year,happy birthday,drinking_party,football,waltz,jamaco,helen,thames,cleaning the car,bible,big ben,bond,euro,toilet,director,flowers,ice cream,british bull dog,dinning_out
187,62fb8033c06ae5622f51ad28,29,Male,White,uk,uk,uk,English,within,1,younger,,spain,bmw,rainy,martin luther king,cadbury milk,spain,labour,beer,1993,spider,new york,sunbathing,running,vogue,19-Jan,netflix,daily mail,12,everest,sims,asda,ronaldo,hat,kenya,nirvana,eiffel tower,spider plant,sand,daisy,wheel,na,math,christmas,smells like teen spirit,drinking_party,football,waltz,adidas,abigail,amazon,dusting,harry potter,shard,star wars,euro,shower,firefighter,grass,hotdog,springer spaniel,dancing_out
188,62fb8033c06ae5622f51ad28,29,Male,White,uk,uk,uk,English,between,2,younger,,france,audi,rainy,churchill,cadbury milk,spain,labour,beer,1993,spider,london,sunbathing,running,vogue,13-Dec,netflix,daily mail,25,everest,chess,asda,wayne rooney,hat,kenya,beatles,eiffel tower,sider plant,sand,daisy,wheel,na,math,christmas,hey jude,dancing,football,waltz,fred perry,abigail,thames,dusting,bible,shard,star wars,euro,bath,firefighter,grass,nachos,springer spaniel,dancing_out
189,63048611bec5d1be0786d78d,30,Female,White,uk,uk,uk,English,within,1,younger,,spain,ford,sunny,the queen,cadbury milk,spain,labour,wine,2012,ant,london,sunbathing,running,ok!,25-Dec,netflix,daily mail,100,snowdonia,sims,asda,lewis hamilton,skirt,south africa,adele,eiffel tower,lily,pebble,rose,wheel,na,math,birthday,sweet caroline,dancing,football,cha cha slide,nike,mary,nile,ironing,harry potter,shard,harry potter,euro,toothbrush,nurse,flowers,ice cream,staffordshire bull terrier,dancing_out
190,63048611bec5d1be0786d78d,30,Female,White,uk,uk,uk,English,between,2,younger,,france,ford,rainy,the queen,cadbury milk,spain,conservative,wine,2000,spider,london,sleeping,walking,hello!,25-Dec,bbc,daily mail,100,snowdonia,call of duty,tesco,alex ferguson,coat,south africa,tom jones,buckingham palace,lily,sand,rose,steering wheel,na,english,birthday,sweet caroline,dancing,football,waltz,nike,rose,nile,ironing,harry potter,buckingham palace,harry potter,american dollar,toothbrush,nurse,grass,ice cream,yorkshire terrier,dancing_out
191,631745a70c7c585248df1a5d,29,Male,White,uk,uk,uk,English,within,1,younger,,germany,ford,rainy,lincoln,snickers,spain,labour,beer,2000,ant,london,sunbathing,running,hello!,01-Jan,netflix,times,1,everest,fortnite,tesco,ronaldo,hat,senegal,adele,statue of liberty,bonsai,sand,rose,engine,na,history,christmas,red red wine,games,football,tango,adidas,rose,thames,cleaning,harry potter,empire state,die hard,yen,toilet,lawyer,plants,hotdog,husky,drinking_out
192,631745a70c7c585248df1a5d,29,Male,White,uk,uk,uk,English,between,2,younger,,uk,ford,rainy,lincoln,mars,spain,conservative,wine,2000,ant,london,sunbathing,walking,heat,01-Jan,netflix,telegraph,2,everest,doom,tesco,messi,jeans,south africa,john lennon,na,sunflower,sand,rose,wheel,na,history,birthday,let her go,drinking_party,football,tango,puma,lilly,thames,laundry,bible,empire state,die hard,euro,basin,pilot,flowers,hotdog,collie,dancing_out
193,63468a3c999c8e38f33c7a82,32,Male,White,uk,uk,uk,English,between,1,younger,,spain,ford,rainy,churchill,cadbury milk,spain,labour,beer,1982,ladybug,london,sunbathing,running,hello!,23-Apr,bbc one,times,3,everest,pac-man,tesco,boris becker,trousers,morocco,beatles,eiffel tower,aloe vera,sand,rose,engine,na,math,birthday,bohemian rhapsody,eating cake,football,tango,levi's,victoria,thames,cleaning,harry potter,shard,james bond,euro,toilet,engineer,shed,chips,labrador,drinking_out
194,63468a3c999c8e38f33c7a82,32,Male,White,uk,uk,uk,English,within,2,younger,,spain,ford,rainy,mandela,cadbury milk,spain,labour,beer,2001,ant,london,sunbathing,running,heat,25-Dec,netflix,daily mail,1,everest,fifa,tesco,harry kane,socks,tunisia,one direction,eiffel tower,aloe vera,sand,rose,wheel,na,math,birthday,macarena,drinking_party,football,tango,all saints,rebecca,thames,cleaning,harry potter,shard,james bond,euro,toilet,engineer,flowers,kebab,pug,drinking_out
195,6346e69ebd7bbf2cda8fa8e0,26,Male,Mixed,uk,uk,uk,English,within,1,younger,,germany,ferrari,snowy,nikola tesla,cadbury milk,spain,labour,Jagerbomb,2022,ant,london,sunbathing,running,time,01-Jan,netflix,the sun,18,everest,call of duty,asda,tyson fury,coat,senegal ,muse,big ben,aloe vera,shell,sunflower,engine,na,math,christmas,that's entertainent by paul weller,drinking_party,football,breakdancing,nike,jessica,thames,washing up,harry potter,twin towers,spirited,euro,soap,lawyer,grass,hotdog,german shepherd,dancing_out
196,6346e69ebd7bbf2cda8fa8e0,26,Male,Mixed,uk,uk,uk,English,between,2,younger,,uk,bmw,rainy,the queen,cadbury milk,france,labour,gin,1960,ant,london,sleeping,training,time,01-Jan,sky,evening standard,100,everest,tetris,tesco,mo farah,top,senegal,michael buble,big ben,vines,shell,sunflower,engine,na,history,christmas,we wish you merry christmas,dancing,football,breakdancing,levi's,jessica,thames,cleaning,bible,house of parliament,titanic,euro,soap,manager,flowers,sandwich,labrador,dancing_out
197,637fa9a2ca0c2fa078910c4b,35,Male,White,uk,uk,uk,English,within,1,younger,,france,ford,sunny,churchill,cadbury milk,spain,conservative,beer,2020,ant,london,sunbathing,running,national geographic,25-Dec,netflix,times,10,etna,minecraft,tesco,lewis hamilton,top,south africa,ed sheeran,buckingham palace,money plant,sand,rose,engine,na,math,birthday,last christmas,drinking_party,football,salsa,nike,britney,thames,washing up,harry potter,big ben,home alone,euro,toilet,doctor,plants,sandwich,boxer,dancing_out
198,637fa9a2ca0c2fa078910c4b,35,Male,White,uk,uk,uk,English,between,2,younger,,spain,vauxhall,cold,churchill,hotel chocolat,switzerland,conservative,beer,2022,spider,london,sleeping,walking,radio times,01-Jan,bbc one,independent,100,ben nevis,space invaders,sainsbury's,gary lineker,coat,kenya,abba,trafalgar square,spider plant,shell,rose,door,na,english,anniversary,waterloo,drinking_party,golf,waltz,cotton traders,elizabeth,thames,laundry,macbeth,tower of london,braveheart,euro,bath,nurse,greenhouse,biscuit,labrador,dancing_out
